Data;15861 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas físicas - %;15862 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas físicas - %;15863 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amapá - Pessoas físicas - %;15864 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas físicas - %;15865 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Bahia - Pessoas físicas - %;15866 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Ceará - Pessoas físicas - %;15867 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas físicas - %;15868 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Espírito Santo - Pessoas físicas - %;15869 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas físicas - %
09/2014;4,17 ;5,21 ;4,76 ;5,37 ;4,41 ;4,40 ;2,94 ;3,28 ;3,31
10/2014;4,30 ;5,26 ;4,48 ;5,41 ;4,50 ;4,31 ;3,01 ;3,28 ;3,37
11/2014;4,26 ;5,12 ;4,38 ;5,35 ;4,43 ;4,18 ;2,95 ;3,21 ;3,32
12/2014;4,02 ;4,66 ;4,23 ;5,14 ;4,10 ;3,94 ;2,79 ;3,04 ;3,17
01/2015;4,01 ;4,82 ;4,33 ;5,22 ;4,27 ;3,92 ;2,87 ;3,11 ;3,29
02/2015;4,06 ;4,82 ;5,42 ;5,29 ;4,31 ;3,93 ;2,99 ;3,21 ;3,37
03/2015;3,83 ;4,71 ;5,06 ;5,05 ;4,14 ;3,88 ;2,90 ;3,21 ;3,27
04/2015;3,89 ;4,74 ;5,13 ;5,05 ;4,26 ;4,00 ;2,93 ;3,30 ;3,34
05/2015;4,18 ;4,80 ;5,26 ;5,27 ;4,44 ;4,07 ;2,96 ;3,47 ;3,45
06/2015;3,83 ;4,70 ;5,12 ;5,02 ;4,29 ;3,89 ;2,82 ;3,33 ;3,26
07/2015;3,83 ;4,93 ;5,19 ;5,03 ;4,40 ;3,99 ;2,93 ;3,50 ;3,38
08/2015;3,94 ;5,12 ;5,31 ;5,12 ;4,48 ;4,13 ;3,03 ;3,63 ;3,50
09/2015;4,01 ;5,26 ;5,24 ;5,16 ;4,54 ;4,21 ;3,08 ;3,73 ;3,56
10/2015;4,02 ;5,51 ;5,25 ;5,22 ;4,75 ;4,35 ;3,23 ;3,85 ;3,80
11/2015;4,34 ;5,59 ;4,86 ;5,42 ;4,89 ;4,49 ;3,38 ;3,96 ;3,87
12/2015;4,39 ;5,60 ;5,20 ;5,57 ;5,01 ;4,51 ;3,40 ;3,99 ;3,84
01/2016;4,38 ;5,53 ;5,30 ;5,57 ;5,03 ;4,56 ;3,54 ;4,03 ;4,01
02/2016;4,44 ;5,58 ;5,64 ;5,77 ;5,06 ;4,64 ;3,62 ;4,20 ;4,12
03/2016;4,37 ;5,45 ;5,22 ;5,79 ;5,02 ;4,55 ;3,51 ;4,17 ;4,07
04/2016;4,60 ;5,62 ;5,31 ;6,19 ;5,23 ;4,75 ;3,63 ;4,36 ;4,14
05/2016;4,66 ;5,58 ;5,60 ;6,28 ;5,22 ;4,75 ;3,64 ;4,39 ;4,07
06/2016;4,24 ;5,28 ;5,01 ;5,87 ;4,95 ;4,51 ;3,46 ;4,15 ;3,85
07/2016;3,97 ;5,02 ;4,88 ;5,62 ;4,72 ;4,27 ;3,40 ;3,93 ;3,86
08/2016;3,99 ;4,90 ;4,66 ;5,59 ;4,75 ;4,28 ;3,32 ;3,90 ;3,94
09/2016;4,04 ;5,06 ;4,64 ;5,60 ;4,84 ;4,37 ;3,40 ;3,93 ;4,04
10/2016;4,17 ;4,90 ;4,83 ;5,67 ;4,84 ;4,42 ;3,45 ;4,01 ;4,09
11/2016;4,09 ;4,71 ;4,78 ;5,55 ;4,68 ;4,34 ;3,39 ;3,89 ;3,88
12/2016;3,86 ;4,42 ;4,74 ;5,28 ;4,48 ;4,16 ;3,18 ;3,63 ;3,66
01/2017;3,75 ;4,37 ;4,79 ;5,23 ;4,53 ;4,19 ;3,23 ;3,71 ;3,70
02/2017;3,69 ;4,43 ;4,80 ;5,16 ;4,53 ;4,20 ;3,28 ;3,93 ;3,81
03/2017;3,67 ;4,39 ;4,89 ;5,11 ;4,40 ;4,20 ;3,23 ;3,74 ;3,69
04/2017;3,72 ;4,54 ;5,04 ;5,13 ;4,60 ;4,39 ;3,26 ;4,28 ;3,66
05/2017;3,78 ;4,70 ;5,06 ;5,17 ;4,69 ;4,45 ;3,31 ;4,31 ;3,62
06/2017;3,43 ;4,21 ;4,86 ;4,83 ;4,30 ;4,01 ;3,07 ;3,98 ;3,26
07/2017;3,54 ;4,41 ;5,21 ;4,90 ;4,45 ;4,17 ;3,16 ;4,06 ;3,41
08/2017;3,59 ;4,32 ;5,16 ;4,87 ;4,38 ;4,12 ;3,16 ;3,90 ;3,39
09/2017;3,44 ;4,30 ;5,13 ;4,87 ;4,34 ;4,08 ;3,19 ;3,74 ;3,36
10/2017;3,31 ;4,25 ;5,15 ;4,70 ;4,38 ;4,06 ;3,17 ;3,66 ;3,38
11/2017;3,22 ;4,13 ;5,07 ;4,58 ;4,30 ;3,95 ;3,09 ;3,59 ;3,28
12/2017;3,05 ;3,87 ;5,03 ;4,33 ;3,99 ;3,70 ;2,93 ;3,41 ;3,03
01/2018;3,24 ;4,16 ;5,36 ;4,47 ;4,23 ;3,98 ;3,16 ;3,57 ;3,38
02/2018;3,12 ;4,21 ;5,08 ;4,32 ;4,23 ;3,99 ;3,28 ;3,65 ;3,35
03/2018;3,08 ;4,26 ;5,08 ;4,09 ;4,17 ;3,91 ;3,25 ;3,56 ;3,33
04/2018;3,00 ;4,39 ;5,05 ;4,08 ;4,16 ;3,96 ;3,22 ;3,69 ;3,19
05/2018;2,97 ;4,46 ;5,17 ;4,09 ;4,11 ;3,91 ;3,21 ;3,63 ;3,18
06/2018;2,91 ;4,28 ;4,99 ;3,95 ;3,97 ;3,74 ;3,20 ;3,40 ;2,99
07/2018;3,01 ;4,29 ;5,05 ;3,96 ;3,98 ;3,73 ;3,13 ;3,34 ;3,00
08/2018;2,87 ;4,19 ;4,88 ;3,77 ;3,85 ;3,65 ;3,23 ;3,24 ;2,90
09/2018;2,93 ;4,12 ;4,63 ;3,73 ;3,85 ;3,60 ;3,21 ;3,28 ;2,84
10/2018;2,90 ;3,86 ;4,56 ;3,74 ;3,70 ;3,51 ;3,10 ;3,23 ;2,78
11/2018;2,79 ;3,74 ;4,48 ;3,68 ;3,67 ;3,40 ;2,99 ;3,18 ;2,72
12/2018;2,82 ;3,60 ;4,46 ;3,65 ;3,60 ;3,34 ;2,89 ;3,23 ;2,63
01/2019;2,88 ;3,74 ;4,45 ;3,77 ;3,71 ;3,46 ;2,97 ;3,36 ;2,79
02/2019;2,89 ;3,69 ;4,38 ;3,58 ;3,66 ;3,44 ;2,99 ;3,42 ;2,78
03/2019;3,05 ;3,75 ;4,46 ;3,68 ;3,75 ;3,56 ;3,03 ;3,69 ;2,88
04/2019;3,12 ;3,79 ;4,37 ;3,68 ;3,66 ;3,56 ;2,97 ;3,65 ;2,86
05/2019;3,21 ;3,97 ;4,48 ;3,80 ;3,74 ;3,63 ;2,90 ;3,71 ;2,86
06/2019;3,12 ;3,84 ;4,38 ;3,70 ;3,73 ;3,55 ;2,86 ;3,64 ;2,74
07/2019;3,25 ;3,92 ;4,46 ;3,73 ;3,88 ;3,64 ;2,93 ;3,66 ;2,86
08/2019;3,23 ;3,98 ;4,33 ;3,74 ;3,88 ;3,70 ;2,90 ;3,66 ;2,92
09/2019;3,26 ;4,03 ;4,37 ;3,82 ;3,95 ;3,78 ;2,93 ;3,76 ;2,95
10/2019;3,25 ;4,05 ;4,37 ;3,76 ;3,92 ;3,74 ;2,91 ;3,78 ;2,85
11/2019;3,15 ;4,10 ;4,29 ;3,76 ;3,95 ;3,73 ;2,94 ;3,81 ;2,85
12/2019;3,20 ;4,07 ;4,29 ;3,80 ;3,91 ;3,71 ;2,94 ;3,82 ;2,88
01/2020;3,16 ;4,30 ;4,33 ;3,87 ;4,16 ;3,87 ;3,04 ;3,98 ;3,03
02/2020;3,24 ;4,36 ;4,33 ;3,79 ;4,19 ;3,92 ;3,07 ;3,96 ;3,16
03/2020;3,45 ;4,81 ;4,56 ;4,30 ;4,58 ;4,48 ;3,30 ;4,37 ;3,47
